state,name,uninsured_M,snap_M,student_loans_M,veterans_M,median_income_K,elderly_pct,renters_K,mfg_jobs_K,poverty_pct,births_K,hospitals,uncompensated_care_B,insurer_mlr_pct,methodology_version,last_updated
WV,West Virginia,0.1,0.4,0.3,0.2,52,20,200,40,17,18,64,0.3,89,v2026.1,2026-07-11
KY,Kentucky,0.3,0.8,0.7,0.3,57,17,600,245,16,54,96,0.6,88,v2026.1,2026-07-11
VA,Virginia,0.6,0.8,1.1,0.7,87,16,1100,235,10,96,90,1.0,85,v2026.1,2026-07-11
OH,Ohio,0.8,1.6,1.7,0.8,65,17,1600,660,13,138,165,1.5,86,v2026.1,2026-07-11
MI,Michigan,0.6,1.4,1.4,0.6,67,18,1300,590,14,109,133,1.2,85,v2026.1,2026-07-11
IL,Illinois,0.8,1.8,1.8,0.7,74,16,1800,575,12,138,188,1.6,85,v2026.1,2026-07-11
IA,Iowa,0.2,0.3,0.5,0.2,70,17,390,215,11,37,115,0.4,86,v2026.1,2026-07-11
OR,Oregon,0.3,0.5,0.6,0.3,77,18,620,155,12,43,60,0.6,84,v2026.1,2026-07-11
WA,Washington,0.5,0.8,1.0,0.5,90,16,1000,300,10,83,88,1.0,84,v2026.1,2026-07-11
CA,California,3.0,6.5,4.5,1.7,84,15,5700,1280,12,430,342,5.2,84,v2026.1,2026-07-11
NY,New York,1.1,3.0,2.5,0.8,78,17,3200,430,13,196,185,2.3,85,v2026.1,2026-07-11
PA,Pennsylvania,0.8,1.8,1.7,0.8,72,19,1650,555,12,136,173,1.7,86,v2026.1,2026-07-11
MA,Massachusetts,0.2,0.6,0.9,0.3,96,17,900,250,10,68,68,0.5,83,v2026.1,2026-07-11
HI,Hawaii,0.07,0.2,0.2,0.1,88,19,195,15,9,17,22,0.1,83,v2026.1,2026-07-11
VT,Vermont,0.04,0.1,0.1,0.05,73,20,85,30,11,6,14,0.08,85,v2026.1,2026-07-11
MN,Minnesota,0.3,0.5,0.8,0.4,84,16,740,315,9,67,143,0.6,84,v2026.1,2026-07-11
CT,Connecticut,0.2,0.4,0.5,0.2,90,18,490,155,10,35,30,0.4,84,v2026.1,2026-07-11
RI,Rhode Island,0.06,0.1,0.2,0.07,76,18,155,40,12,11,11,0.1,83,v2026.1,2026-07-11
NH,New Hampshire,0.08,0.1,0.2,0.1,92,17,160,65,8,12,26,0.1,85,v2026.1,2026-07-11
WI,Wisconsin,0.3,0.6,0.8,0.4,72,17,750,470,11,65,122,0.7,86,v2026.1,2026-07-11
DE,Delaware,0.07,0.1,0.1,0.07,76,17,120,25,11,11,7,0.1,85,v2026.1,2026-07-11
MD,Maryland,0.3,0.7,0.8,0.4,98,16,770,100,9,70,64,0.6,84,v2026.1,2026-07-11
NJ,New Jersey,0.5,0.8,1.1,0.4,97,17,1050,240,10,100,72,0.9,85,v2026.1,2026-07-11
ME,Maine,0.08,0.2,0.2,0.1,67,21,175,50,11,12,37,0.1,86,v2026.1,2026-07-11
